node,value,cycle,representative,partition
create:ochrum,0.08,"{'create:cut_ochrum_brick_stairs', 'create:small_ochrum_bricks', 'create:polished_cut_ochrum_slab', 'create:cut_ochrum_stairs', 'create:polished_cut_ochrum_wall', 'create:cut_ochrum_slab', 'create:cut_ochrum_brick_wall', 'create:polished_cut_ochrum', 'create:ochrum', 'create:ochrum_pillar', 'create:cut_ochrum', 'create:layered_ochrum', 'create:small_ochrum_brick_stairs', 'create:cut_ochrum_brick_slab', 'create:small_ochrum_brick_slab', 'create:polished_cut_ochrum_stairs', 'create:small_ochrum_brick_wall', 'create:cut_ochrum_bricks', 'create:cut_ochrum_wall'}",,part-000
create:crimsite,0.08,"{'create:cut_crimsite', 'create:cut_crimsite_bricks', 'create:cut_crimsite_brick_wall', 'create:polished_cut_crimsite_stairs', 'create:layered_crimsite', 'create:polished_cut_crimsite_slab', 'create:small_crimsite_brick_wall', 'create:cut_crimsite_wall', 'create:cut_crimsite_brick_slab', 'create:cut_crimsite_slab', 'create:crimsite', 'create:crimsite_pillar', 'create:cut_crimsite_brick_stairs', 'create:cut_crimsite_stairs', 'create:small_crimsite_brick_stairs', 'create:small_crimsite_bricks', 'create:small_crimsite_brick_slab', 'create:polished_cut_crimsite', 'create:polished_cut_crimsite_wall'}",,part-000
minecraft:tuff,0.08,"{'create:polished_cut_tuff_stairs', 'create:small_tuff_bricks', 'create:polished_cut_tuff', 'create:cut_tuff_brick_wall', 'create:small_tuff_brick_wall', 'create:cut_tuff_bricks', 'create:tuff_pillar', 'create:cut_tuff_wall', 'create:layered_tuff', 'create:polished_cut_tuff_wall', 'create:cut_tuff_stairs', 'create:small_tuff_brick_stairs', 'create:cut_tuff_slab', 'create:cut_tuff_brick_slab', 'create:small_tuff_brick_slab', 'minecraft:tuff', 'create:cut_tuff_brick_stairs', 'create:polished_cut_tuff_slab', 'create:cut_tuff'}",,part-000
create:asurine,0.08,"{'create:cut_asurine_wall', 'create:polished_cut_asurine_slab', 'create:cut_asurine_brick_stairs', 'create:small_asurine_brick_stairs', 'create:asurine', 'create:cut_asurine_brick_slab', 'create:cut_asurine_stairs', 'create:small_asurine_brick_wall', 'create:asurine_pillar', 'create:polished_cut_asurine', 'create:polished_cut_asurine_wall', 'create:small_asurine_brick_slab', 'create:cut_asurine', 'create:cut_asurine_bricks', 'create:layered_asurine', 'create:cut_asurine_slab', 'create:cut_asurine_brick_wall', 'create:polished_cut_asurine_stairs', 'create:small_asurine_bricks'}",,part-000
create:limestone,0.08,"{'create:polished_cut_limestone_stairs', 'create:cut_limestone', 'create:cut_limestone_slab', 'create:cut_limestone_brick_wall', 'create:small_limestone_brick_wall', 'create:cut_limestone_bricks', 'create:limestone', 'create:layered_limestone', 'create:small_limestone_brick_stairs', 'create:polished_cut_limestone', 'create:small_limestone_brick_slab', 'create:limestone_pillar', 'create:polished_cut_limestone_slab', 'create:cut_limestone_brick_stairs', 'create:cut_limestone_wall', 'create:polished_cut_limestone_wall', 'create:cut_limestone_stairs', 'create:small_limestone_bricks', 'create:cut_limestone_brick_slab'}",,part-975
minecraft:rotten_flesh,0.7,"{'crystal_chronicles:rotten_flesh_block', 'minecraft:rotten_flesh'}",,part-000
create:cut-calcite,0.08,"{'create:cut_calcite_bricks', 'create:cut_calcite_brick_stairs', 'create:polished_cut_calcite_stairs', 'create:polished_cut_calcite', 'create:cut_calcite_slab', 'create:small_calcite_brick_slab', 'create:small_calcite_bricks', 'create:small_calcite_brick_wall', 'create:small_calcite_brick_stairs', 'minecraft:calcite', 'create:cut_calcite_brick_wall', 'create:cut_calcite_stairs', 'create:cut_calcite', 'create:calcite_pillar', 'create:cut_calcite_brick_slab', 'create:cut_calcite_wall', 'create:layered_calcite', 'create:polished_cut_calcite_wall', 'create:polished_cut_calcite_slab'}",,part-000
supplementaries:flax,1,"{'supplementaries:flax_block', 'supplementaries:flax'}",,part-000
born_in_chaos_v1:pieceofdarkmetal,6,"{'born_in_chaos_v1:pileof_dark_metal', 'born_in_chaos_v1:pieceofdarkmetal'}",,part-000
minecraft:nether_wart,0.1,"{'minecraft:nether_wart', 'minecraft:nether_wart_block'}",,part-000
create:experience_nugget,12,"{'create:experience_nugget', 'create:experience_block'}",,part-976
born_in_chaos_v1:shattered_skull,10,"{'born_in_chaos_v1:shattered_skull', 'born_in_chaos_v1:pile_of_skulls'}",,part-000
minecraft:feather,0.8,"{'minecraft:feather', 'supplementaries:feather_block'}",,part-000
minecraft:wheat,0.4,"{'minecraft:hay_block', 'minecraft:wheat'}",,part-000
