node,SCT
hazennstuff:mycelium_guardian_boots,2178.900
create:adjustable_chain_gearshift,43.540
create:ornate_iron_window_pane,4.000
supplementaries:sconce_lever,6.040
somemoreblocks:magenta_terracotta_bricks,16.000
hazennstuff:mage_bane,4163.540
born_in_chaos_v1:pumpkin_bullet,0.660
create:track_station,196.000
minecraft:cracked_deepslate_tiles,16.000
supplementaries:deepslate_lamp,128.600
suppsquared:metal_brace,7.120
minecraft:cooked_rabbit,20.000
supplementaries:ash_bricks,4.000
hazennstuff:prismatic_shard,14.250
minecraft:bamboo_fence_gate,1.500
create:hand_crank,19.050
hazennstuff:bounty_hunter_leggings,5295.950
crystal_chronicles:crustone_bricks_stairs,16.000
irons_spellbooks:pumpkin_chestplate,633.000
minecraft:mangrove_fence_gate,0.830
protection_pixel:hammer_helmet,195.640
supplementaries:notice_board,6.890
create:peculiar_bell,29.300
born_in_chaos_v1:phantom_bomb,630.000
better_weaponry:wooden_shuriken,3.320
somemoreblocks:cracked_cut_netherite,700.920
somemoreblocks:cracked_end_stone_tiles,16.000
hazennstuff:cryogenic_ruler_chestplate,16800.840
sophisticatedstorage:upgrade_base,68.150
somemoreblocks:cracked_cut_quartz,16.000
somemoreblocks:magenta_checkered_tiles,16.010
numismatics:vendor,44.230
minecraft:dark_oak_door,0.830
crystal_chronicles:paladin_sword,1238.200
minecraft:writable_book,32.000
minecraft:golden_apple,69.760
minecraft:diamond_pickaxe,240.840
minecraft:flower_pot,12.000
born_in_chaos_v1:spiritual_sword,1252.500
hazennstuff:iron431_leggings,2750.110
somemoreblocks:polished_basalt_brick_slab,0.250
somemoreblocks:smooth_end_stone_slab,8.000
irons_spellbooks:keeper_flamberge,800.000
better_weaponry:netherite_broadsword,1083.400
somemoreblocks:smooth_tuff,16.000
supplementaries:flute,1.500
betterarcheology:cracked_mud_bricks,30.300
better_weaponry:netherite_glaive,763.820
somemoreblocks:light_gray_terracotta_tiles,16.000
born_in_chaos_v1:frostbitten_blade,4352.500
somemoreblocks:soul_sandstone_tile_stairs,1.200
create:wooden_bracket,4.870
irons_spellbooks:artificer_cane,14.010
protection_pixel:steamectoskeleton,149.840
minecraft:polished_blackstone_wall,16.000
hazennstuff:pyrium_battlemage_leggings,1203.050
hazennstuff:frostbite_birch_button,0.830
suppsquared:brass_lantern,7.930
create:crafting_blueprint,66.680
born_in_chaos_v1:nightmare_claw,250.000
create:pulse_timer,57.160
born_in_chaos_v1:scorched_planks_fence,3.820
minecraft:breeze_rod,55.000
create:warped_window_pane,3.470
somemoreblocks:gray_checkered_tiles,16.010
supplementaries:statue,24.000
hazennstuff:utau_helmet,57.600
create:turntable,3.180
minecraft:polished_granite_slab,8.000
betterarcheology:rotten_planks,0.830
crystal_chronicles:crustone_stairs,16.000
born_in_chaos_v1:transformative_flower,1200.000
born_in_chaos_v1:eternal_candy,1651.980
better_weaponry:golden_broadsword,45.240
minecraft:wooden_pickaxe,3.330
minecraft:cherry_planks,0.830
fdbosses:polished_justicestone_slab,0.120
supplementaries:clock_block,36.620
hazennstuff:garments_of_the_first_flamebearer_soul_helmet,26956.520
minecraft:goat_horn,45.000
suppsquared:metal_frame,7.120
minecraft:oak_stairs,0.830
irons_spellbooks:dragonskin,24437.400
somemoreblocks:mossy_brick_stairs,16.250
irons_spellbooks:ice_rune,4262.830
somemoreblocks:oak_mosaic_stairs,1.260
minecraft:polished_blackstone_brick_stairs,16.000
somemoreblocks:orange_concrete_tiles,16.020
supplementaries:pancake,2500.000
irons_spellbooks:protection_upgrade_orb,17822.760
somemoreblocks:acacia_mosaic_slab,0.420
somemoreblocks:mossy_mud_brick_wall,30.550
supplementaries:way_sign_birch,0.420
create:powered_latch,65.140
minecraft:end_stone_brick_stairs,16.000
born_in_chaos_v1:black_argillite_brick_slab,6.500
hazennstuff:dark_ritual_templar_boots,1462.700
somemoreblocks:mossy_diorite_brick_slab,8.120
born_in_chaos_v1:missionary_hat_helmet,450.000
somemoreblocks:smooth_soul_sandstone,1.200
betterarcheology:wolf_fossil,15000.000
born_in_chaos_v1:flaming_evil_pumpkin,93.500
create:brass_tunnel,13.430
supplementaries:dragon_banner_pattern,2250.250
born_in_chaos_v1:dark_atrium,552.500
create:copycat_panel,1.250
born_in_chaos_v1:trident_hayfork,60.000
createoreexcavation:drill,368.000
minecraft:sculk_sensor,10.000
exposure:developed_black_and_white_film,625.000
minecraft:granite_stairs,16.000
hazennstuff:shadow_scale_boots,10585.620
better_weaponry:amethyst_shuriken,22.840
exposure:developed_color_film,0.000
supplementaries:fine_wood_stairs,18.750
born_in_chaos_v1:cobweb_cover,13.000
somemoreblocks:purple_stained_tiled_glass,16.000
suppsquared:item_shelf_warped,0.630
minecraft:mangrove_fence,0.830
crystal_chronicles:mage_boots,9863.450
crystal_chronicles:polished_crustone_stairs,16.000
create:warped_window,9.250
protection_pixel:plagueas_helmet,2076.470
chimes:bamboo_chimes,15.920
somemoreblocks:soul_sandstone,1.200
betterarcheology:chicken_fossil,15000.000
crystal_chronicles:bronchus_trapdoor,3.750
minecraft:tuff_stairs,16.000
somemoreblocks:mossy_sandstone_brick_wall,64.250
create:andesite_ladder,8.280
supplementaries:urn,15.000
somemoreblocks:jungle_mosaic,0.840
irons_spellbooks:netherite_spell_book,369.400
somemoreblocks:spruce_mosaic,0.840
somemoreblocks:mud_tiles,30.300
born_in_chaos_v1:death_totem,95.000
minecraft:prismarine_bricks,8.320
minecraft:stone_bricks,16.000
somemoreblocks:white_concrete_bricks,16.020
minecraft:spruce_chest_boat,10.790
suppsquared:item_shelf_mangrove,0.630
somemoreblocks:andesite_brick_stairs,16.000
crystal_chronicles:evocation_twinblade,740.420
genshinstrument:windsong_lyre,33.320
minecraft:acacia_fence,0.830
better_weaponry:emerald_glaive,100.840
somemoreblocks:dark_oak_mosaic_slab,0.420
hazennstuff:thunder_prowler_chestplate,16824.840
crystal_chronicles:staff,636.550
minecraft:glistering_melon_slice,14.140
minecraft:warped_door,0.830
hazennstuff:soul_flame_helmet,18336.610
betterarcheology:guardian_fossil,15000.000
hazennstuff:garments_of_the_first_flamebearer_soul_chestplate,27936.080
minecraft:snow,0.500
minecraft:player_head,500.000
minecraft:acacia_fence_gate,0.830
somemoreblocks:mossy_red_sandstone_brick_stairs,64.250
irons_spellbooks:silver_ring,16.670
crystal_chronicles:floralite_shard,613.210
somemoreblocks:snow_bricks,1.000
irons_spellbooks:gold_spell_book,35.380
numismatics:sprocket,8.000
better_weaponry:amethyst_sickle,11.840
create:track_observer,164.370
hazennstuff:calamitas_boots,32950.210
create:industrial_iron_window,20.000
betterarcheology:cracked_mud_brick_stairs,30.300
hazennstuff:frostbite_knight_helmet,14746.660
minecraft:lectern,20.160
fdbosses:justicestone_bricks,0.250
crystal_chronicles:chiseled_crustone,16.000
better_weaponry:emerald_katana,100.420
minecraft:polished_tuff_wall,16.000
born_in_chaos_v1:spiny_shell,35.000
somemoreblocks:stone_tiles,16.000
hazennstuff:herta_puppet_chestplate,9889.340
minecraft:smooth_stone_slab,8.000
suppsquared:daub_slab,9.500
irons_spellbooks:visibility_ring,24.100
create:crimson_window,9.250
create:depot,37.620
create:display_link,12.690
supplementaries:way_sign_acacia,0.420
create:wand_of_symmetry,152.350
hazennstuff:frostbite_hunter_chestplate,16565.900
minecraft:wet_sponge,20.000
somemoreblocks:end_stone_tiles,16.000
crystal_chronicles:blood_scythe,1998.120
minecraft:cherry_boat,4.150
somemoreblocks:gray_stained_tiled_glass_pane,6.000
minecraft:chainmail_helmet,15.000
minecraft:light_blue_dye,0.250
better_weaponry:emerald_armor_helmet,250.000
suppsquared:item_shelf_crimson,0.630
crystal_chronicles:eye_block,120.000
hazennstuff:dreadsteel_ingot,335.920
hazennstuff:abberant_predator_leggings,31140.940
irons_spellbooks:ice_spell_book,3054.020
somemoreblocks:polished_purpur_slab,7.500
born_in_chaos_v1:green_stained_glass,15.330
somemoreblocks:prismarine_tile_wall,8.320
protection_pixel:steelcorecannonshell,41.220
somemoreblocks:verdant_redstone_froglight,45.400
hazennstuff:shadow_scale,60.000
minecraft:barrel,5.820
somemoreblocks:cracked_bone_tiles,22.500
better_weaponry:diamond_shield,84.980
somemoreblocks:corrupted_polished_blackstone_brick_slab,28.060
supplementaries:way_sign_warped,0.420
minecraft:jungle_chest_boat,10.790
hazennstuff:miner_chestplate,224.000
somemoreblocks:red_sandstone_tile_stairs,64.000
somemoreblocks:cracked_prismarine_bricks,8.320
somemoreblocks:lime_stained_tiled_glass_pane,6.000
protection_pixel:hookcannon,484.340
hazennstuff:ender_dragon_chestplate,16944.840
minecraft:end_stone_brick_slab,8.000
hazennstuff:seraph_leggings,16328.980
minecraft:smithing_table,35.320
minecraft:pale_oak_pressure_plate,0.830
hazennstuff:storm_weave,172.640
born_in_chaos_v1:elixir_of_vampirism,650.000
supplementaries:lapis_bricks,8.320
somemoreblocks:polished_basalt_tiles,0.500
hazennstuff:wisewood_fence_gate,1.070
exposure_polaroid:instant_black_and_white_slide,2.250
minecraft:cauldron,112.000
protection_pixel:slingshot_leggings,400.780
somemoreblocks:brown_shingles,8.000
better_weaponry:copper_claymore,3.860
minecraft:diamond_shovel,80.840
irons_spellbooks:wayward_compass,124.600
minecraft:andesite_wall,16.000
irons_spellbooks:cooldown_upgrade_orb,17862.760
hazennstuff:abomination,116913.920
hazennstuff:slc_cat_boots,19604.410
somemoreblocks:brown_concrete_tiles,16.020
create:rose_quartz_lamp,9.900
supplementaries:way_sign_crimson,0.420
minecraft:cobblestone_slab,8.000
sophisticatedbackpacks:refill_upgrade,205.340
supplementaries:faucet,64.420
irons_spellbooks:lesser_spell_slot_upgrade,529.560
create:train_door,328.740
hazennstuff:seraph_helmet,15763.440
minecraft:popped_chorus_fruit,15.000
born_in_chaos_v1:nightmare_mantleofthe_night_chestplate,7350.000
minecraft:minecart,80.000
hazennstuff:lemon_god_leggings,3649.110
somemoreblocks:andesite_tile_stairs,16.000
somemoreblocks:chiseled_end_stone_bricks,16.000
minecraft:chest,6.640
minecraft:trident,360.000
create:deployer,70.140
somemoreblocks:ice_brick_slab,4.500
hazennstuff:radiance_rune,4248.830
irons_spellbooks:upgrade_orb,619.440
minecraft:creeper_banner_pattern,750.250
somemoreblocks:mossy_mud_bricks,30.550
born_in_chaos_v1:corpse_maggot,10.000
irons_spellbooks:copper_spell_book,0.500
supplementaries:planter,30.800
better_weaponry:diamond_shuriken,320.000
hazennstuff:shattered,4282.280
born_in_chaos_v1:creepy_cookies_with_milk,3782.550
stonkstimecore:stonks_temporal_chronoscope,31484.930
hazennstuff:garments_of_the_first_flamebearer_helmet,26942.270
create:display_board,26.960
genshinstrument:glorious_drum,41.320
createoreexcavation:vein_finder,71.550
irons_spellbooks:speed_boots,7215.000
minecraft:warped_trapdoor,0.830
minecraft:resin_brick_slab,120.000
born_in_chaos_v1:dark_metal_armor_helmet,22477.980
supplementaries:way_sign_mangrove,0.420
crystal_chronicles:crustone_bricks_slab,8.000
somemoreblocks:orange_terracotta_bricks,16.000
minecraft:diamond_chestplate,640.000
better_weaponry:diamond_spear,80.840
hazennstuff:war_flaming_lance,1569.530
create:waxed_exposed_copper_tiles,70.430
create:sticker,95.340
minecraft:birch_sign,0.830
somemoreblocks:sandstone_bricks,64.000
somemoreblocks:snow_brick_stairs,1.500
create:waxed_copper_tile_stairs,70.430
born_in_chaos_v1:bottle_of_magical_energy,650.000
irons_spellbooks:cooldown_ring,16.670
supplementaries:hourglass,94.940
better_weaponry:diamond_katana,160.420
sophisticatedstorage:dark_oak_storage_connector,1.360
irons_spellbooks:ruined_book,6870.000
hazennstuff:draconic_splitter,1594.530
minecraft:heavy_core,5000.000
somemoreblocks:smooth_purpur_slab,7.500
born_in_chaos_v1:lifestealer_skull,600.000
minecraft:armadillo_scute,25.000
somemoreblocks:stone_tile_slab,8.000
better_weaponry:netherite_katana,763.400
hazennstuff:frostbite_knight_chestplate,16183.500
irons_spellbooks:druidic_spell_book,8.460
supplementaries:cannon_boat_birch,177.290
better_weaponry:copper_sword,2.140
minecraft:wolf_armor,150.000
create:haunted_bell,29.300
minecraft:spruce_stairs,0.830
better_weaponry:iron_shuriken,64.000
minecraft:jungle_sign,0.830
protection_pixel:nightdemonas_helmet,1970.870
create:gantry_shaft,4.150
better_weaponry:golden_katana,15.360
supplementaries:bomb_blue,240.000
sophisticatedstorage:limited_gold_barrel_1,137.390
sophisticatedstorage:limited_gold_barrel_2,136.980
sophisticatedstorage:limited_gold_barrel_3,136.570
sophisticatedstorage:limited_gold_barrel_4,136.160
protection_pixel:heatresistantceramicsheet,23.470
sophisticatedbackpacks:deposit_upgrade,257.930
minecraft:tnt_minecart,144.500
somemoreblocks:tiled_glass_pane,6.000
somemoreblocks:andesite_brick_slab,8.000
minecraft:acacia_planks,0.830
better_weaponry:emerald_shovel,50.840
chimes:glass_bells,15.300
sophisticatedbackpacks:advanced_tool_swapper_upgrade,274.350
betterarcheology:rotten_slab,0.420
minecraft:cherry_button,0.830
hazennstuff:melee_upgrade_orb,36706.080
minecraft:mud_bricks,30.300
somemoreblocks:waxed_weathered_cracked_cut_copper,19.430
irons_spellbooks:twilight_gale,24.000
protection_pixel:wingsofprismas_chestplate,3906.620
somemoreblocks:polished_mud_slab,15.150
create:brass_sheet,2.930
create:analog_lever,21.480
create:honeyed_apple,12.500
minecraft:note_block,6.740
minecraft:bamboo,0.500
somemoreblocks:polished_purpur_stairs,15.000
protection_pixel:breakeras_chestplate,3927.800
hazennstuff:flesh_mass_chestplate,17304.840
irons_spellbooks:evocation_upgrade_orb,18182.760
minecraft:waxed_exposed_copper_grate,19.430
better_weaponry:netherite_claymore,923.400
minecraft:waxed_chiseled_copper,19.430
protection_pixel:tacticaloxygensupplydevice,159.680
sophisticatedstorage:basic_to_gold_tier_upgrade,131.160
somemoreblocks:white_shingles_stairs,8.000
minecraft:smooth_sandstone,64.000
minecraft:end_crystal,197.000
suppsquared:iron_plaque,16.000
irons_spellbooks:invisibility_ring,4530.000
minecraft:rabbit_hide,30.000
better_weaponry:amethyst_katana,11.840
supplementaries:cannon_boat_bamboo,180.640
better_weaponry:golden_spear,8.310
create:mechanical_press,167.820
minecraft:diorite_wall,16.000
minecraft:pale_oak_trapdoor,0.830
create:birch_window_pane,3.470
minecraft:spruce_planks,0.830
create:track,9.120
hazennstuff:blade_of_the_legate,1300.000
hazennstuff:chlorophyte_mask,13912.330
create:waxed_exposed_copper_shingle_slab,70.220
minecraft:polished_blackstone_bricks,16.000
minecraft:waxed_weathered_copper_grate,19.430
minecraft:cracked_stone_bricks,16.000
hazennstuff:legionnaire_warlock_axe,1700.000
create:smart_chute,35.730
somemoreblocks:blue_stained_tiled_glass,16.000
better_weaponry:diamond_chakram,320.420
somemoreblocks:cracked_ice_bricks,9.000
somemoreblocks:jungle_mosaic_slab,0.420
supplementaries:rope,15.000
minecraft:lantern,14.840
irons_spellbooks:blood_staff,2600.000
sophisticatedstorage:iron_to_diamond_tier_upgrade,700.280
minecraft:ender_chest,1323.840
irons_spellbooks:firefly_jar,14.890
somemoreblocks:mossy_andesite_brick_wall,16.250
somemoreblocks:cracked_stone_tiles,16.000
minecraft:iron_trapdoor,64.000
minecraft:deepslate_brick_wall,16.000
somemoreblocks:polished_ice_slab,4.500
somemoreblocks:polished_basalt_tile_wall,0.500
born_in_chaos_v1:fused_bone,15.000
better_weaponry:iron_scythe,64.840
better_weaponry:emerald_sickle,100.420
minecraft:crimson_nylium,0.500
minecraft:acacia_pressure_plate,0.830
hazennstuff:arbitrium_wings,2565.740
somemoreblocks:orange_checkered_tiles,16.010
somemoreblocks:cracked_granite_bricks,16.000
supplementaries:cannonball,90.000
minecraft:wither_skeleton_skull,1050.000
protection_pixel:tosaki_helmet,429.480
somemoreblocks:tiled_glass,16.000
create:waxed_exposed_copper_shingle_stairs,70.430
minecraft:cherry_chest_boat,10.790
sophisticatedstorage:iron_to_netherite_tier_upgrade,778.160
minecraft:firework_rocket,0.120
somemoreblocks:pink_terracotta_tiles,16.000
crystal_chronicles:toxic_boots,9660.950
crystal_chronicles:bronchus_slab,0.620
somemoreblocks:shingles,8.000
somemoreblocks:yellow_stained_tiled_glass,16.000
create:radial_chassis,16.040
somemoreblocks:red_sandstone_tile_slab,32.000
hazennstuff:wisewood_slab,0.540
stonkstimecore:time_gear,21600.000
somemoreblocks:mangrove_mosaic_slab,0.420
suppsquared:item_shelf_acacia,0.630
better_weaponry:copper_sai,2.980
irons_spellbooks:dragonskin_spell_book,48904.800
somemoreblocks:light_gray_shingles,8.000
irons_spellbooks:energized_core,87.740
minecraft:kelp,0.100
born_in_chaos_v1:purple_stained_glass_panel,5.750
somemoreblocks:large_snow_fern,0.750
create:tree_fertilizer,3.000
somemoreblocks:red_sandstone_pillar,64.000
hazennstuff:divine_lemon,915.000
minecraft:redstone_lamp,0.800
somemoreblocks:polished_prismarine,8.320
numismatics:spur,1.000
irons_spellbooks:netherite_mage_boots,683.960
minecraft:end_rod,11.250
hazennstuff:muramasa,1400.000
somemoreblocks:bone_tile_slab,11.250
somemoreblocks:diorite_brick_slab,8.000
create:empty_schematic,0.500
minecraft:acacia_boat,4.150
create:redstone_contact,48.050
better_weaponry:netherite_sickle,763.400
better_weaponry:wooden_katana,2.080
hazennstuff:soul_flame_leggings,18902.150
hazennstuff:soul_legionnaire_ruler_leggings,1260.670
better_weaponry:copper_rapier,2.560
create:steam_engine,31.770
hazennstuff:miner_helmet,181.000
somemoreblocks:mossy_end_stone_brick_wall,16.250
minecraft:ghast_tear,45.000
born_in_chaos_v1:magical_holiday_candy,45.000
born_in_chaos_v1:orbofthe_summoner,3200.000
hazennstuff:volcano,8988.800
better_weaponry:amethyst_armor_leggings,39.970
minecraft:crimson_sign,0.830
born_in_chaos_v1:lifestealer_bone,250.000
waterframes:tv,251.260
born_in_chaos_v1:spiritual_guide_sombrero_helmet,90.000
minecraft:painting,63.360
minecraft:stone_brick_slab,8.000
crystal_chronicles:hemalite_shard,665.760
minecraft:polished_blackstone_pressure_plate,32.000
somemoreblocks:pink_concrete_tiles,16.020
numismatics:bevel,16.000
hazennstuff:neru_chestplate,57.670
somemoreblocks:smooth_soul_sandstone_slab,0.600
better_weaponry:wooden_spear,1.670
exposure:photograph,1.250
hazennstuff:vampire_knives,11305.930
minecraft:pale_oak_fence_gate,0.830
minecraft:resin_bricks,240.000
somemoreblocks:redstone_pillar,0.900
better_weaponry:amethyst_battleaxe,29.390
somemoreblocks:orange_stained_tiled_glass_pane,6.000
better_weaponry:emerald_sai,101.260
minecraft:oak_trapdoor,0.830
numismatics:andesite_depositor,37.060
betterarcheology:cracked_mud_brick_slab,15.150
hazennstuff:crystal_arachnid_chestplate,26420.890
somemoreblocks:mangrove_mosaic_stairs,1.260
create:crimson_window_pane,3.470
chimes:iron_chimes,22.540
protection_pixel:anchorpoint_leggings,309.720
minecraft:birch_button,0.830
somemoreblocks:orange_terracotta_tiles,16.000
create:millstone,40.650
hazennstuff:permafrost_prince_boots,19712.330
create:cherry_window_pane,3.470
somemoreblocks:white_stained_tiled_glass_pane,6.000
minecraft:netherite_sword,763.400
create:cardboard_helmet,18.750
darkdoppelganger:summons_necklace,7500.000
betterarcheology:iron_brush,31.420
born_in_chaos_v1:dark_stained_glass,15.330
minecraft:sweet_berries,5.000
somemoreblocks:polished_dripstone_slab,2.000
supplementaries:goblet,24.900
better_weaponry:wooden_chakram,3.740
minecraft:heart_of_the_sea,2400.000
better_weaponry:copper_axe,3.420
minecraft:warped_wart_block,0.500
better_weaponry:netherite_battleaxe,1003.820
hazennstuff:abberant_predator_helmet,30575.400
numismatics:brass_depositor,348.710
better_weaponry:golden_shield,12.450
somemoreblocks:cracked_purpur_tiles,15.000
somemoreblocks:white_terracotta_bricks,16.000
born_in_chaos_v1:spiny_shell_armor_helmet,175.000
somemoreblocks:smooth_deepslate,16.000
minecraft:quartz_block,16.000
minecraft:brick,4.000
create:gantry_carriage,25.070
hazennstuff:maverick_chestplate,20986.800
better_weaponry:emerald_cutlass,101.680
somemoreblocks:mossy_deepslate_brick_stairs,16.250
crystal_chronicles:pyromancer_boots,9863.450
create:schematicannon,488.360
sophisticatedstorage:limited_iron_barrel_4,76.400
sophisticatedstorage:limited_iron_barrel_3,76.810
sophisticatedstorage:limited_iron_barrel_2,77.220
sophisticatedstorage:limited_iron_barrel_1,77.630
supplementaries:wind_vane,54.100
somemoreblocks:gray_stained_tiled_glass,16.000
somemoreblocks:cracked_purpur_block,15.000
paraglider:energizing_mixture,7.500
supplementaries:stone_tile_stairs,16.000
hazennstuff:project_sekai_boots,57.680
minecraft:trial_key,90.000
create:copper_sheet,0.860
hazennstuff:utau_chestplate,57.600
protection_pixel:smallnetheritesheet,38.940
somemoreblocks:mangrove_mosaic,0.840
somemoreblocks:mossy_granite_brick_stairs,16.250
hazennstuff:mothic_witch_leggings,20584.770
minecraft:smoker,148.000
hazennstuff:rod_of_discord,2750.000
hazennstuff:permafrost_prince_helmet,20126.350
hazennstuff:blade_of_grass,8779.050
better_weaponry:emerald_axe,150.840
crystal_chronicles:clever_light,158.000
sophisticatedbackpacks:iron_backpack,187.520
somemoreblocks:magenta_concrete_bricks,16.020
born_in_chaos_v1:darkwarblade,65252.500
heartstone:heart_banner_pattern,1211.670
betterarcheology:bomb,14.340
minecraft:brown_dye,0.120
exposure:black_and_white_film,39.180
better_weaponry:iron_chakram,64.420
irons_spellbooks:pyrium_staff,211.520
sophisticatedstorage:iron_shulker_box,148.040
hazennstuff:calamitas_leggings,34909.330
protection_pixel:equipmentkit,1114.120
somemoreblocks:light_blue_concrete_bricks,16.020
minecraft:brick_slab,8.000
somemoreblocks:brown_checkered_tiles,16.010
hazennstuff:strengthened,110403.030
minecraft:bricks,16.000
somemoreblocks:mossy_calcite_bricks,16.250
irons_spellbooks:brazier,6.780
crystal_chronicles:eye,30.000
exposure_polaroid:high_sensitivity_instant_color_slide,13.120
somemoreblocks:cut_soul_sandstone_slab,0.600
hazennstuff:sacred_robes_chestplate,3376.810
crystal_chronicles:paladin_shield,1317.780
irons_spellbooks:teleportation_amulet,46.670
minecraft:deepslate_tile_wall,16.000
minecraft:polished_deepslate_stairs,16.000
supplementaries:candy,0.290
create:industrial_iron_block,8.000
create:chocolate_glazed_berries,1880.000
born_in_chaos_v1:fired_black_argillite,13.000
minecraft:dark_oak_stairs,0.830
minecraft:jungle_pressure_plate,0.830
somemoreblocks:cracked_cut_emerald,450.000
somemoreblocks:cyan_concrete_tiles,16.020
crystal_chronicles:tank_boots,12154.950
betterarcheology:chiseled_bone_block,5.000
better_weaponry:copper_cutlass,3.400
minecraft:golden_carrot,14.140
minecraft:echo_shard,900.000
somemoreblocks:black_checkered_tiles,16.010
minecraft:magenta_dye,0.170
better_weaponry:golden_rapier,15.780
minecraft:prismarine_wall,8.320
hazennstuff:rose_gold_ingot,35.220
somemoreblocks:mud_tile_slab,15.150
somemoreblocks:mossy_brick_wall,16.250
create:train_trapdoor,328.740
somemoreblocks:polished_calcite_stairs,16.000
somemoreblocks:lime_terracotta_tiles,16.000
create:whisk,113.120
better_weaponry:amethyst_sword,11.840
born_in_chaos_v1:phantom_powder,45.000
hazennstuff:dreadsteel_knight_leggings,12413.030
minecraft:waxed_weathered_copper_bulb,65.830
minecraft:red_nether_brick_wall,10.200
somemoreblocks:polished_blackstone_tile_wall,16.000
better_weaponry:iron_hammer,96.420
exposure:color_film,20.330
crystal_chronicles:chiseled_crustone_stairs,16.000
hazennstuff:soul_legionnaire_ruler_helmet,1100.670
hazennstuff:chlorophyte_chestplate,14424.640
minecraft:magma_cream,40.120
supplementaries:lapis_bricks_wall,8.320
supplementaries:key,9.130
somemoreblocks:blue_terracotta_tiles,16.000
minecraft:blackstone_wall,16.000
crystal_chronicles:voidstone_shard,635.710
hazennstuff:mothic_witch_helmet,20019.230
better_weaponry:copper_armor_boots,3.440
create:item_hatch,80.560
hazennstuff:how_did_you_find_the_mothic_witch_chestplate,21074.290
hazennstuff:bounty_hunter_boots,4841.390
minecraft:cherry_sign,0.830
somemoreblocks:green_stained_tiled_glass,16.000
somemoreblocks:corrupted_polished_basalt_brick_wall,40.620
somemoreblocks:mossy_bricks,16.250
minecraft:pale_oak_boat,4.150
createoreexcavation:raw_emerald,100.000
born_in_chaos_v1:spiritual_gingerbread,35.620
somemoreblocks:chiseled_diorite_bricks,16.000
born_in_chaos_v1:krampuss_bag,5000.000
minecraft:sea_lantern,183.320
waterframes:frame,235.660
minecraft:waxed_exposed_chiseled_copper,19.430
minecraft:pale_moss_carpet,0.200
irons_spellbooks:villager_spell_book,8889.540
fdbosses:polished_justicestone,0.250
crystal_chronicles:mage_leggings,10318.010
somemoreblocks:cracked_soul_sandstone_tiles,1.200
minecraft:turtle_scute,65.000
somemoreblocks:end_stone_tile_slab,8.000
somemoreblocks:cracked_bone_bricks,22.500
minecraft:jungle_boat,4.150
minecraft:diamond_hoe,160.840
irons_spellbooks:disc_fragment_flame_still_burns,60.000
hazennstuff:archery_upgrade_orb,34410.400
irons_spellbooks:wizard_chestplate,1212.160
hazennstuff:magehunter_chestplate,1842.160
minecraft:light_weighted_pressure_plate,14.940
somemoreblocks:granite_pillar,16.000
create:placard,10.040
minecraft:shulker_shell,35.000
fdbosses:justicestone_stairs,0.380
somemoreblocks:smooth_diorite_slab,8.000
irons_spellbooks:frostward_ring,293.850
create_wizardry:mithril_nugget,16.670
create:nozzle,126.240
sophisticatedbackpacks:diamond_backpack,887.280
create:shaft,2.760
irons_spellbooks:furled_map,5006.520
minecraft:bamboo_button,1.500
born_in_chaos_v1:intoxicating_dagger,6002.500
better_weaponry:copper_shield,5.840
hazennstuff:magehunter_boots,1236.080
better_weaponry:diamond_rapier,160.840
minecraft:cherry_trapdoor,0.830
create:mechanical_bearing,24.240
hazennstuff:iron431_boots,1561.360
protection_pixel:workerhornetas_chestplate,3972.560
hazennstuff:frostbite_birch_fence,0.830
minecraft:acacia_trapdoor,0.830
sophisticatedbackpacks:gold_backpack,247.280
irons_spellbooks:ice_upgrade_orb,17670.760
minecraft:furnace,128.000
somemoreblocks:smooth_purpur,15.000
hazennstuff:overgrown_bone,60.000
sophisticatedstorage:gold_shulker_box,207.800
somemoreblocks:soul_sandstone_brick_slab,0.600
minecraft:cracked_nether_bricks,0.400
create_wizardry:crushed_mithril,150.000
somemoreblocks:acacia_mosaic,0.840
supplementaries:slingshot,91.380
somemoreblocks:cracked_dripstone_bricks,4.000
better_weaponry:amethyst_broadsword,34.680
somemoreblocks:chiseled_andesite_bricks,16.000
minecraft:activator_rail,16.230
create:netherite_diving_helmet,623.280
minecraft:crimson_pressure_plate,0.830
minecraft:globe_banner_pattern,360.000
create:waxed_copper_shingle_stairs,70.430
supplementaries:cannon_boat_acacia,177.290
supplementaries:spring_launcher,479.890
minecraft:waxed_exposed_copper_bulb,65.830
minecraft:cherry_stairs,0.830
somemoreblocks:smooth_soul_sandstone_stairs,1.200
minecraft:gilded_blackstone,15.000
minecraft:red_sandstone,64.000
supplementaries:safe,154.520
hazennstuff:zenalite_brick_stairs,26.070
somemoreblocks:red_sandstone_brick_stairs,64.000
minecraft:spruce_button,0.830
somemoreblocks:chiseled_polished_basalt_bricks,0.500
protection_pixel:watertank,2507.720
minecraft:resin_brick_stairs,240.000
protection_pixel:floatshield_chestplate,5002.660
minecraft:deepslate_tiles,16.000
hazennstuff:frostbite_knight_boots,14068.240
minecraft:bamboo_fence,1.500
minecraft:birch_boat,4.150
irons_spellbooks:ender_upgrade_orb,17862.760
minecraft:polished_diorite_stairs,16.000
irons_spellbooks:evoker_spell_book,320.000
minecraft:dark_oak_slab,0.420
protection_pixel:maneuveringwing,2033.600
minecraft:packed_mud,30.300
